ISSN,Estrato
1869-5450,A1
1869-5469,A1
1869-7577,A3
1871-4080,A2
1872-0234,B1
1872-2040,B1
1872-4973,A1
1872-7565,A1
1873-2887,A1
1873-7951,A3
1874-1746,A4
1874-3919,A2
1874-4907,A3
1874-8988,A2
1875-4791,A2
1875-8533,A1
1875-9521,A3
1876-1364,A4
1876-1623,A3
1877-0533,A2
1877-3435,A1
1877-5845,A4
1877-7171,A2
1877-7503,A2
1877-959X,A1
1878-8750,A2
1879-2871,A4
1911-8066,C
1911-8074,C
1916-9760,A3
1927-6974,C
1929-0748,A3
1929-7750,A1
1930-0212,A2
1930-1650,B2
1931-3195,A3
1931-7603,B2
1931-9401,A1
1932-2968,A2
1932-4537,A2
1932-4545,A1
1932-6157,A1
1932-6203,A1
1932-8540,A2
1934-8835,A1
1935-2735,A2
1935-3812,A4
1935-5688,B1
1935-9748,A1
1936-1610,A2
1936-1955,A4
1936-6442,A2
1936-7228,A3
1936-7406,A3
1936-9751,A2
1937-4151,A2
1937-8831,B4
1937-9234,A1
1938-3673,A2
1939-0068,A1
1939-1374,A1
1939-1382,A1
1939-1390,A2
1939-1404,A1
1939-3806,A1
1939-8018,A3
1939-9170,A1
1940-087X,B1
1941-6296,B1
1941-8477,B3
1942-0684,A1
1942-261X,C
1942-2628,C
1942-2679,B4
1942-390X,B1
1942-4787,A1
1942-4795,A1
1943-0620,A2
1943-0655,A3
1943-0663,A4
1944-1134,B3
1944-3900,B1
1944-3994,B1
1944-8007,A1
1944-8244,A1
1945-3116,B3
1945-7553,B1
1946-2166,A1
1946-6226,A1
1948-5182,A4
1949-3029,A1
1949-3045,A1
1949-3053,A1
1949-8349,A3
1951-6355,A3
1951-6401,A3
1958-9212,A1
1958-9395,A3
1972-2680,A4
1980-0258,B4
1980-0827,B2
1980-220X,A3
1980-2552,A2
1980-265X,A2
1980-4415,A1
1980-4490,A1
1980-5160,B3
1980-5373,A3
1980-5411,A4
1980-5470,A1
1980-5497,A2
1980-556X,B2
1980-5764,B2
1980-5799,A2
1980-6108,B2
1980-6477,B1
1980-6574,B1
1980-6604,A4
1980-6949,A2
1980-7031,B2
1980-850X,A1
1980-8666,B3
1980-959X,B1
1981-0431,A1
1981-1268,B3
1981-1543,A2
1981-1640,A1
1981-1659,A4
1981-1829,A2
1981-223X,C
1981-3163,B2
1981-3708,B3
1981-416X,A1
1981-5271,A1
1981-5344,A1
1981-5794,A1
1981-6278,A1
1981-674X,A4
1981-6979,B1
1981-8920,A2
1981-982X,C
1982-0194,A2
1982-0216,B1
1982-0305,A1
1982-0577,A2
1982-1123,A3
1982-1654,A4
1982-1662,A4
1982-1816,B3
1982-1956,A2
1982-2014,A1
1982-2413,A3
1982-2596,A3
1982-3029,B2
1982-3134,A2
1982-3649,C
1982-3703,A2
1982-422X,B4
1982-4785,B4
1982-5153,A1
1982-5269,A2
1982-5498,A4
1982-5587,A1
1982-5765,A1
1982-6125,A2
1982-6907,B2
1982-7687,B2
1982-873X,A2
1983-0823,B2
1983-0882,C
1983-1358,A4
1983-1838,B2
1983-196X,A1
1983-2664,B3
1983-3288,A1
1983-3482,A4
1983-3652,A1
1983-5116,A4
1983-5442,B2
1983-5604,C
1983-5930,B1
1983-716X,B1
1983-8026,B4
1983-8611,A3
1983-9294,A3
1983-9308,B2
1983-9391,B1
1984-042X,A3
1984-0446,A2
1984-0462,B1
1984-2430,B3
1984-2902,A4
1984-3011,B3
1984-3143,A2
1984-3240,B2
1984-3526,B1
1984-3534,B4
1984-431X,B1
1984-4387,B1
1984-4689,B1
1984-4867,A4
1984-557X,B1
1984-6290,B1
1984-6444,A1
1984-6576,B1
1984-686X,A1
1984-7246,A3
1984-8226,A2
1984-8234,A1
1984-8412,A1
1984-8420,A4
1984-9001,B3
1984-932X,A1
1984-9540,A2
1988-2041,A2
1988-3064,A4
1988-5245,B2
1988-7833,C
1988-8996,A3
1989-1660,A1
1989-4155,C
1989-5488,A4
1993-4912,B3
1993-5250,C
1996-1073,A4
1999-4893,C
1999-4907,A2
1999-4915,A2
1999-4923,A2
1999-5431,B2
1999-5903,C
2001-0370,A1
2001-1326,A1
2005-4092,A2
2005-5447,A4
2007-2120,A4
2008-9163,A3
2010-0248,B2
2010-135X,A4
2027-0097,C
2036-7481,B2
2036-9913,A2
2040-2244,A3
2040-2570,B3
2040-7939,A2
2040-7947,A2
2041-1480,A4
2041-1723,A1
2041-210X,A1
2044-0839,A2
2045-2322,A1
2045-3701,A2
2045-7022,A2
2045-7634,A2
2045-7758,A3
2046-1402,A2
2046-2069,A2
2047-217X,A1
2047-2501,A1
2047-4938,A3
2047-7473,A4
2047-7481,A4
2047-9700,A1
2050-1242,A2
2051-1310,A2
2051-1329,A2
2052-0336,B2
2052-0344,B2
2052-1537,A1
2052-4463,A1
2053-1583,A1
2053-9517,A1
2054-5703,A1
2054-7404,B1
2055-0278,A1
2055-0936,A4
2055-2076,A3
2055-3714,B1
2056-3485,A1
2056-6700,A2
2056-7189,A1
2057-1976,B1
2057-4991,A2
2058-9565,A1
2059-7908,A1
2071-1050,A3
2072-4292,A1
2072-6643,A1
2072-666X,B1
2072-6694,A2
2073-431X,C
2073-4360,A3
2073-4395,A2
2073-4409,A2
2073-4425,A4
2073-4433,A3
2073-4441,A4
2073-445X,C
2073-607X,C
2073-8994,A3
2074-9090,A2
2075-1680,C
2075-1702,B2
2075-4418,A2
2075-4426,A2
2075-4698,C
2075-4701,A3
2075-5309,A4
2075-9479,B3
2076-0930,C
2076-2607,A3
2076-2615,A1
2076-3263,A2
2076-3387,C
2076-3417,C
2076-3425,C
2076-393X,A1
2077-0375,A4
2077-0383,A2
2077-0472,A2
2077-1312,C
2078-2489,C
2079-3197,C
2079-4991,A2
2079-6382,A1
2079-7737,A2
2079-8954,C
2079-9292,B1
2081-9943,B1
2084-4840,B2
2088-5334,B1
2090-8105,C
2092-7193,A3
2093-369X,A4
2095-2228,A1
2095-9184,A3
2146-0957,A2
2146-4553,A2
2150-8097,A1
2150-959X,B4
2151-0032,A4
2151-4755,C
2152-2715,A1
2153-0793,A3
2153-3539,A4
2155-6849,A3
2155-7950,B2
2156-177X,B1
2156-3357,A2
2156-3381,A2
2156-5570,C
2156-907X,A4
2157-6904,A1
2158-2440,A1
2159-4627,C
2159-4635,C
2160-5912,C
2160-6455,A2
2161-3915,A3
2161-5063,A1
2161-6825,C
2161-7635,C
2161-783X,A1
2161-7856,A1
2162-2256,A1
2162-2337,A1
2162-2345,A1
2162-237X,A1
2162-2973,A4
2164-2591,A2
2164-5515,A2
2165-0497,A4
2165-7416,C
2167-8359,A2
2167-9495,C
2168-1171,A4
2168-2208,A1
2168-2216,A1
2168-2267,A1
2168-2291,A2
2168-2364,B1
2168-2372,A3
2168-6750,A1
2168-6777,A1
2168-6831,A1
2168-7161,A1
2168-8184,B1
2169-3277,A3
2169-3536,A3
2174-4289,A4
2175-053X,B3
2175-2095,B3
2175-2745,B4
2175-3369,A1
2175-3539,A1
2175-3598,B1
2175-3687,B2
2175-4411,A4
2175-4977,A4
2175-5361,A4
2175-6600,A3
2175-6783,A4
2175-7275,A3
2175-7402,A3
2175-795X,A1
2175-8069,A3
2175-8077,A4
2175-8239,A3
2175-9146,B1
2176-0144,A2
2176-0756,A4
2176-1523,B1
2176-171X,A3
2176-2988,A2
2176-4565,B4
2176-4603,A2
2176-4794,A3
2176-5111,A4
2176-5308,A4
2176-5634,A3
2176-6649,B4
2176-7114,A4
2176-7270,B2
2176-9036,B1
2176-9109,A3
2176-9133,A4
2176-9168,B4
2176-9745,B1
2177-1472,B2
2177-2789,B2
2177-2894,A2
2177-4285,A4
2177-6652,A4
2177-7691,A2
2177-7853,B3
2177-8310,A1
2177-8736,A2
2177-9309,A4
2177-9465,A4
2178-0013,A2
2178-0587,A2
2178-2075,A3
2178-2091,A4
2178-7085,B4
2178-7107,A4
2178-8030,A4
2178-8332,B2
2178-9010,C
2178-9061,A4
2179-0981,B1
2179-1074,A4
2179-1309,A1
2179-135X,B3
2179-1465,A3
2179-2895,B3
2179-3425,B1
2179-3433,B1
2179-4057,A3
2179-426X,A1
2179-460X,B1
2179-684X,C
2179-6858,C
2179-7374,A3
2179-7692,B1
2179-8451,B2
2180-1347,C
2182-1801,C
2182-4967,A3
2182-7796,A3
2182-9608,A3
2183-5462,A2
2184-562X,A3
2184-9021,C
2185-3118,A3
2189-3756,B3
2190-0558,A2
2190-0566,A2
2190-5983,A4
2190-7188,A3
2190-8508,A4
2192-113X,A2
2192-4376,A3
2192-4406,A3
2192-6611,A1
2192-6670,A2
2193-1127,A2
2193-567X,A1
2193-8245,A3
2194-9050,B1
2195-1721,A4
2195-3880,A4
2195-3899,A4
2195-4194,A1
2196-1115,A1
2196-7091,A1
2196-7237,A4
2197-9553,B3
2197-9995,A1
2198-5812,A2
2198-6053,A1
2199-4676,A2
2199-8531,A1
2199-899X,B1
2202-3518,B2
2210-142X,B2
2210-4968,A2
2210-5379,A1
2210-6502,A1
2210-6707,A1
2210-7703,A1
2211-1662,A1
2211-1670,A1
2211-2855,A1
2211-3797,A3
2211-5242,B2
2211-6753,A2
2211-6923,A3
2211-8837,A2
2212-4403,A2
2212-7984,A3
2212-8689,A1
2213-1337,A4
2213-1388,A1
2213-5979,A1
2213-624X,A2
2213-7165,A2
2214-2096,A2
2214-2126,A1
2214-2894,A1
2214-3173,A1
2214-4269,B1
2214-5095,A1
2214-5796,A2
2214-7160,A1
2214-8604,A1
2215-0161,A2
2215-0986,A1
2215-3411,B2
2216-0159,A1
2218-1989,A4
2218-273X,A2
2218-6581,C
2220-9964,C
2221-870X,B1
2223-4292,A3
2224-2708,C
2224-5766,A4
2225-1146,A3
2226-4310,C
2226-5856,A1
2227-7080,A4
2227-7102,C
2227-7390,C
2227-9032,A3
2227-9059,A2
2227-9709,C
2227-9717,B1
2230-8776,B4
2230-9926,C
2231-007X,B3
2231-1963,C
2231-525X,B4
2231-5381,C
2233-7857,C
2234-943X,A3
2235-2988,A2
2236-0093,C
2236-0158,B2
2236-0700,B3
2236-0972,A4
2236-1057,B4
2236-1170,B2
2236-2207,A1
2236-269X,B4
2236-3297,A4
2236-417X,B1
2236-5222,B1
2236-5753,A4
2236-5834,B1
2236-6784,B4
2236-9929,A3
2237-0072,B3
2237-0153,B2
2237-0315,A2
2237-1036,A1
2237-1346,A3
2237-1966,B1
2237-2083,A1
2237-2903,B4
2237-3195,C
2237-3713,B1
2237-4450,A4
2237-4558,A4
2237-5112,B4
2237-826X,A2
2237-8642,A3
2237-9185,A2
2237-9223,A2
2237-9622,A2
2237-9851,B4
2238-0507,B4
2238-0515,B4
2238-1279,A2
2238-2097,A2
2238-2380,A4
2238-2542,B1
2238-2763,C
2238-3603,A2
2238-4782,A2
2238-5800,A2
2238-6963,B3
2238-7315,A2
2238-8079,A4
2238-8753,B1
2238-8893,B1
2249-0868,C
2249-4618,B3
2249-6645,C
2250-3765,B2
2252-8938,A4
2254-7630,C
2255-2863,B2
2263-8733,A3
2278-0181,C
2278-067X,C
2278-1307,B2
2278-4721,C
2278-487X,C
2281-3993,A3
2286-4822,C
2291-9279,A1
2291-9694,A2
2292-9495,A3
2296-2360,B1
2296-2565,A1
2296-2646,A2
2296-424X,A4
2296-634X,A1
2296-665X,A3
2296-6846,C
2296-701X,A3
2296-858X,A2
2296-875X,B1
2296-889X,A2
2296-9144,C
2297-055X,A3
2297-1769,A1
2297-8747,C
2300-7451,A3
2304-0106,A4
2304-6732,A4
2304-8158,A2
2305-6290,C
2305-6703,C
2306-0212,B3
2306-5354,B1
2306-5729,C
2306-6172,B2
2307-1885,B1
2307-2113,A3
2310-5070,A4
2311-5521,C
2313-433X,C
2313-4402,C
2313-4410,C
2313-8734,B2
2314-6141,A2
2316-1493,A4
2316-3127,B3
2316-3712,B2
2316-3801,A2
2316-3828,A3
2316-4522,B3
2316-4891,B1
2316-6517,B2
2316-6614,A2
2316-6746,A4
2316-770X,A4
2316-7963,A3
2316-9036,A1
2316-9141,A1
2316-9281,B1
2316-9451,B3
2316-9834,B1
2316-9907,A3
2316-9915,B1
2317-0026,A4
2317-0093,A3
2317-0115,B3
2317-0840,B2
2317-1782,A3
2317-269X,B2
2317-434X,B4
2317-4536,C
2317-5451,B2
2317-5907,B3
2317-6121,A3
2317-6369,B1
2317-6377,A4
2317-6385,A4
2317-6431,B1
2317-6636,B2
2317-6822,B3
2317-904X,A2
2317-918X,A3
2317-9511,A3
2317-9937,A1
2318-0331,A3
2318-0692,B2
2318-0722,A4
2318-0889,A1
2318-2369,B3
2318-2962,A1
2318-3160,A2
2318-5694,A4
2318-7344,B1
2318-7670,B1
2318-7999,A2
2318-8472,A2
2318-8839,A3
2318-9975,A4
2319-0612,A3
2319-0639,B2
2319-0817,A2
2320-0057,C
2320-0243,B3
2320-8430,B2
2326-0254,A1
2326-7461,C
2326-7550,B2
2327-4662,A1
2327-4697,A1
2327-5219,C
2327-5634,B2
2328-8957,A3
2329-423X,A1
2329-4302,A4
2329-924X,A1
2329-9274,A1
2329-9290,A1
2330-1643,A1
2330-2674,A2
2331-1916,A3
2331-1975,A1
2332-7790,A1
2332-8886,A2
2332-9017,A2
2333-5084,A2
2333-8334,A4
2334-0762,B1
2334-265X,A1
2335-8971,A1
2340-860X,A1
2349-6495,C
2351-8014,B1
2352-1465,B1
2352-152X,A1
2352-2208,A2
2352-3042,A1
2352-4073,A3
2352-4677,A2
2352-4847,A2
2352-4855,A2
2352-5134,A1
2352-6483,A2
2352-7102,A1
2352-7110,A3
2352-8648,A1
2352-9148,A2
2352-9385,A1
2353-3390,B2
2357-707X,A4
2357-724X,B1
2357-8017,A3
2357-9226,A3
2357-9641,B3
2358-0763,A3
2358-2200,B2
2358-2286,B2
2358-2472,B1
2358-2898,A2
2358-6508,B4
2358-7482,B2
2358-7806,A2
2358-7814,A2
2358-8195,A4
2358-8322,A3
2359-0599,A3
2359-1412,B2
2359-1552,B1
2359-1919,B1
2359-232X,A3
2359-2494,A4
2359-277X,B1
2359-4292,B2
2359-4381,A3
2359-4748,B3
2359-4802,B3
2363-9512,A2
2364-0502,B1
2364-415X,A2
2364-7108,B2
2364-8228,A2
2365-9440,A1
2366-5971,B1
2369-2960,A1
2369-3762,A1
2374-0353,A1
2375-2548,A1
2375-4931,A4
2376-3639,A4
2376-5992,A2
2377-3766,A1
2377-3782,A1
2378-0231,A1
2378-962X,A2
2379-5077,A1
2379-8904,A1
2382-3704,B4
2386-8570,C
2391-6060,B3
2397-3374,A1
2397-3498,B3
2398-6247,A2
2399-3642,A1
2399-4908,A4
2399-8083,A1
2399-8091,A1
2405-8440,A2
2405-9595,A1
2411-2933,C
2411-3123,C
2411-5134,C
2414-4088,C
2415-6698,C
2430-3658,C
2436-8539,C
2444-8729,A3
2446-4740,A4
2446-7634,B3
2446-774X,A2
2446-8738,B3
2446-9424,A2
2446-9491,A1
2446-9580,A3
2447-0740,B1
2447-0961,C
2447-2573,B3
2447-2689,B1
2447-3073,A2
2447-4193,A1
2447-5246,A3
2447-5580,B2
2447-6811,B3
2447-7451,B2
2447-8733,A3
2447-9047,A4
2447-9187,B2
2447-9926,B1
2448-0916,A3
2448-0959,C
2448-167X,A4
2448-1904,C
2448-2889,B2
2451-9588,A1
2452-0144,B2
2452-2198,A2
2452-2929,A2
2454-2008,C
2454-4698,C
2456-1908,C
2456-2165,C
2458-9403,C
2462-8603,A1
2468-0427,A2
2468-0540,A2
2468-0672,A3
2468-4376,B3
2468-6964,A1
2469-7281,A3
2469-9926,A2
2469-9950,A2
2470-0045,A2
2470-6566,A2
2471-2531,A1
2471-2566,A3
2471-2825,A1
2471-2833,A1
2471-285X,A1
2472-1751,A1
2473-2400,A1
2473-2907,A4
2473-9529,A1
2475-1456,A2
2475-1472,A3
2475-1502,A3
2475-4455,A2
2475-9066,A1
2476-1249,A4
2476-1508,B1
2500-6177,B2
2500-7645,A4
2504-0537,C
2504-110X,A1
2504-2289,C
2504-284X,C
2504-446X,A4
2509-4971,A1
2510-2044,A2
2515-0464,A4
2515-4184,A3
2515-4230,A4
2516-6425,B2
2517-5025,A2
2517-5599,A1
2520-8454,B2
2520-8497,B4
2522-5839,A1
2523-3939,A4
2523-3963,A1
2524-4671,A1
2524-4906,A1
2524-6372,A1
2524-8154,A3
2525-3166,A4
2525-3263,B2
2525-328X,A4
2525-3409,C
2525-3468,A3
2525-3522,A3
2525-3654,C
2525-376X,B3
2525-4146,B4
2525-4251,B2
2525-4332,B1
2525-4553,B1
2525-4782,B2
2525-5304,A1
2525-6092,B2
2525-7757,A1
2525-815X,B2
2525-8222,A1
2525-8761,C
2525-9555,C
2525-9563,B4
2526-1010,B1
2526-2149,A3
2526-2289,B3
2526-3528,B3
2526-4036,B2
2526-4281,A2
2526-5830,B2
2526-6136,A2
2526-6578,B4
2526-8236,C
2526-8384,B3
2526-9038,A2
2526-9461,B2
2526-9542,A3
2526-9747,B2
2526-9798,B4
2527-1075,A4
2527-2675,A3
2531-1379,A4
2542-6605,A1
2560-6921,A1
2561-326X,A4
2561-3278,B3
2561-9128,B2
2569-2925,A1
2571-5577,C
2571-631X,C
2571-9408,C
2573-0142,A1
2573-5152,A1
2573-7147,B3
2573-9468,A2
2574-0970,A2
2576-098X,B2
2576-3164,A3
2576-3199,A4
2576-5337,A3
2578-1863,A2
2581-9615,C
2582-3191,C
2589-7217,A1
2590-0056,A3
2590-0374,A3
2590-1184,A4
2590-2911,A1
2591-5312,B2
2594-3553,B4
2594-3901,A4
2594-4754,B1
2594-4827,A3
2594-7036,A4
2594-8288,A4
2594-8849,B2
2594-9004,A3
2594-9020,B3
2594-9888,B3
2595-0622,C
2595-1084,B4
2595-3621,C
2595-4490,A3
2595-4644,B4
2595-5217,B4
2595-573X,B1
2595-5748,C
2595-668X,A4
2595-6825,C
2595-7376,A2
2595-8178,B1
2595-8402,B2
2595-9204,B2
2595-9611,B3
2596-058X,A3
2596-061X,B3
2596-1934,C
2596-2701,B2
2616-8375,B2
2624-599X,C
2624-6511,C
2624-7402,A2
2624-8212,C
2624-831X,C
2624-8921,C
2624-909X,C
2624-9898,C
2626-8493,A3
2630-5194,B4
2631-3316,C
2631-7079,B2
2631-7680,A1
2631-9810,B1
2631-9829,B1
2632-072X,A1
2632-2153,A1
2632-6582,A3
2633-6693,A3
2634-3797,A4
2635-0041,A3
2637-6407,A1
2637-6415,A4
2639-0175,A2
2640-3498,A2
2641-0281,B2
2641-435X,A1
2642-1577,B2
2642-2859,B2
2643-1564,A1
2643-4512,B4
2644-1225,A4
2644-125X,A1
2644-1268,A1
2644-1330,A1
2645-9248,C
2658-5316,B2
2661-8907,A2
2662-9283,B1
2662-9399,A3
2662-995X,A2
2662-9992,A1
2665-9638,B2
2666-0164,A1
2666-1438,A4
2666-1667,B1
2666-2817,A1
2666-3546,A1
2666-3899,A1
2666-5212,A3
2666-5395,A2
2666-5441,A3
2666-5573,A1
2666-7207,B1
2666-7649,A2
2666-8270,A2
2666-8319,A2
2666-9129,A3
2666-920X,A1
2666-9900,A4
2667-0313,A3
2667-0968,A1
2667-1026,A2
2667-1131,A4
2667-193X,A2
2667-2901,B1
2667-3053,A2
2667-3185,A4
2667-3452,A1
2668-3245,B3
2673-253X,A3
2673-2688,C
2673-3951,B2
2673-4001,C
2673-4052,B2
2673-4087,C
2673-4117,B3
2673-5067,C
2673-530X,C
2673-5601,A4
2673-611X,A4
2673-6268,B3
2673-6284,B2
2673-7086,C
2673-7515,B4
2673-7647,A3
2673-8007,C
2673-9909,C
2673-9984,C
2674-0338,C
2674-113X,C
2674-5895,B2
2674-5976,A4
2674-8703,A4
2674-9297,C
2674-9564,B3
2675-021X,B4
2675-1488,C
2675-1828,A4
2675-1909,A3
2675-1933,A4
2675-2824,B2
2675-3375,A3
2675-4126,B3
2675-4630,B2
2675-5211,B2
2675-5459,C
2675-6218,A4
2675-6404,A4
2675-6722,A4
2675-8008,B3
2675-8865,B4
2675-9128,B2
2675-9462,A4
2676-0029,B2
2684-4443,C
2688-3007,A2
2688-6146,B2
2690-1307,B4
2691-1914,A3
2691-4581,A2
2694-1015,B2
2694-1783,A4
2695-6578,B2
2706-5448,B2
2709-4111,B2
2709-8028,A3
2713-3745,B2
2730-5953,A3
2730-664X,A2
2730-7239,A2
2730-7492,B2
2730-7727,A3
2730-7794,B3
2731-0809,A4
2731-6955,B3
2731-9687,B3
2731-9997,A2
2732-5121,A4
2752-6542,A2
2754-6993,A3
2763-6925,B3
2763-7719,A4
2763-8960,B1
2763-9290,C
2764-0159,B3
2764-0981,C
2764-1317,A4
2764-1759,B4
2764-2216,C
2764-3727,C
2764-4111,C
2764-4537,B3
2764-6963,C
2764-8044,B2
2764-9490,C
2766-1334,B3
2766-7820,B3
2769-3457,C
2770-3541,B3
2770-6699,B2
2770-9019,B2
2771-9359,A3
2772-3755,A1
2772-4425,A4
2772-5081,A4
2772-5286,B1
2772-5693,B1
2772-6533,B3
2772-6622,A1
2772-9060,B4
2773-0506,B4
2775-2658,B1
2777-5860,B2
2790-1939,B4
2790-5284,C
2804-7303,B1
2810-773X,C
2810-9619,B3
2810-9821,B3
2813-2203,C
2813-2998,C
2813-6780,C
2816-8089,B3
2822-7840,A2
2831-316X,B2
2831-4085,C
2832-4463,B3
2835-6896,C
2836-5968,C
2836-6573,B1
2948-2933,C
2949-6977,B2
2949-7329,B3
2949-7612,B4
2949-8910,B3
2965-159X,B4
2965-1778,B2
2965-6931,B1
2966-3938,C
2972-4619,C
2977-0424,B3
2982-0308,C
2994-970X,B3
2996-1394,C
3004-8680,C
3005-3862,B2
3006-5496,B3
3029-2387,C
3050-4546,C
8755-1039,B1
