Sigla,Nome do evento,Estrato,quadrienio
CF,ACM International Conference on Computing Frontiers,A3,2021-2024
CGI,Computer Graphics International Conference,B1,2021-2024
CGO,International Symposium on Code Generation and Optimization,A2,2021-2024
CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,A4,2021-2024
CHI,ACM Conference on Human Factors in Computing Systems,A1,2021-2024
CHIPlay,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,A2,2021-2024
CIAC,International Conference on Algorithms and Complexity,B4,2021-2024
CIARP,Iberoamerican Congress on Pattern Recognition,A4,2021-2024
CIBCB,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,A3,2021-2024
CIbSE,Conferencia Iberoamericana de Software Engineering,B1,2021-2024
CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,B4,2021-2024
CIDI,Congresso Internacional de Design da Informação,B4,2021-2024
CIKM,ACM International Conference on Information and Knowledge Management,A1,2021-2024
CILAMCE,Iberian Latin American Congress on Computational Methods,B4,2021-2024
CISTI,Iberian Conference on Information Systems and Technologies,A3,2021-2024
CIT,IEEE International Conference on Information Technology,A2,2021-2024
CLAIO,Latin-Ibero-American Conference on Operations Research,B4,2021-2024
CLEF,Conference and Labs of the Evaluation Forum,A4,2021-2024
CLEI,Conferencia Latinoamericana de Informática,B2,2021-2024
CLIHC,Latin American Conference on Human Computer Interaction,B3,2021-2024
CLOSER,International Conference on Cloud Computing and Services Science,A3,2021-2024
CLOUD,IEEE International Conference on Cloud Computing,A2,2021-2024
CLOUDCOM,IEEE International Conference on Cloud Computing Technology and Science,B1,2021-2024
CLOUDNET,IEEE International Conference on Cloud Networking,A4,2021-2024
CLUSTER,IEEE International Conference on Cluster Computing,A3,2021-2024
CMMR,International Symposium on Computer Music Multidisciplinary Research,B2,2021-2024
CMN,Congress on Numerical Methods in Engineering,B4,2021-2024
CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,B4,2021-2024
CNSM,International Conference on Network and Service Management,A3,2021-2024
COCOA,International Conference on Combinatorial Optimization and Applications,B2,2021-2024
COCOON,International Computing and Combinatorics Conference,B2,2021-2024
COG,Conference on Games,A2,2021-2024
COLING,International Conference on Computational Linguistics,A1,2021-2024
CoMeSySo,Computational Methods in Systems and Software,A3,2021-2024
COMPLEXNETWORKS,International Conference on Complex Networks and Their Applications,A4,2021-2024
COMPSAC,IEEE Computer Software and Applications Conference,A2,2021-2024
COMSNETS,International Conference on Communication Systems & NetworkS,A2,2021-2024
CONEXT,Conference on Emerging Network Experiment and Technology,A1,2021-2024
CoNLL,Conference on Natural Language Learning,A1,2021-2024
CONTECSI,International Conference on Information Systems and Technology Management,B4,2021-2024
COOPIS,International Conference on Cooperative Information Systems,B1,2021-2024
COURB,Workshop of Urban Computing,B4,2021-2024
CPAIOR,"International Conference on Integration of Constraint Programming, Artificial Intelligence, and Operations Research",A4,2021-2024
CRTL+E,Congresso sobre Tecnologias na Educação,B3,2021-2024
CSCW,ACM Conference on Computer Supported Cooperative Work & Social Computing,A3,2021-2024
CSCWD,IEEE International Conference on Computer Supported Cooperative Work in Design,A3,2021-2024
CSE,International Conference on Computational Science and Engineering,B1,2021-2024
CSEDU,International Conference on Computer Supported Education,A3,2021-2024
CSF,IEEE Computer Security Foundations Symposium,A3,2021-2024
CSNet,Cyber Security in Networking Conference,B1,2021-2024
CSR,IEEE International Conference on Cyber Security and Resilience,B1,2021-2024
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,A1,2021-2024
CVPR-E,IEEE Conference on Computer Vision and Pattern Recognition Companion,A3,2021-2024
DAC,Design Automation Conference,A1,2021-2024
DARS,International Symposium on Distributed Autonomous Robotic Systems,B3,2021-2024
DASFAA,International Conference on Database Systems for Advanced Applications,A3,2021-2024
DATA,"International Conference on Data Science, Technology and Applications",A1,2021-2024
DATE,"Design, Automation and Test in Europe Conference and Exhibition",A1,2021-2024
DAWAK,International Conference on Big Data Analytics and Knowledge Discovery,B1,2021-2024
DBSEC,IFIP WG 11.3 Conference on Data and Applications Security and Privacy,A4,2021-2024
DCOSS,International Conference on Distributed Computing in Sensor Systems,A2,2021-2024
DEXA,International Conference on Database and Expert Systems Applications,A3,2021-2024
DFTVS,IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems,A3,2021-2024
DGMM,Discrete Geometry and Mathematical Morphology,A4,2021-2024
DGO,Annual International Conference on Digital Government Research,A2,2021-2024
DL,International Workshop on Description Logics,A4,2021-2024
DMSVIVA,International DMS Conference on Visualization and Visual Languages,B4,2021-2024
DOCENG,ACM Symposium on Document Engineering,B1,2021-2024
DRCN,International Conference on the Design of Reliable Communication Networks,B1,2021-2024
DS-RT,IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications,B1,2021-2024
DSAA,IEEE International Conference on Data Science and Advanced Analytics,A2,2021-2024
DSAI,International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion,B4,2021-2024
DSD,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools",A3,2021-2024
DSN,Annual IEEE/IFIP International Conference on Dependable Systems and Networks,A1,2021-2024
DSW,Dataset Showcase Workshop,B4,2021-2024
EAAAI,International Conference on Engineering Applications and Advances of Artificial Intelligence,A4,2021-2024
EACL,Conference of the European Chapter of the Association for Computational Linguistics,A1,2021-2024
EAIS,IEEE International Conference on Evolving and Adaptive Intelligent Systems,B3,2021-2024
EASE,International Conference on Evaluation and Assessment in Software Engineering,A2,2021-2024
EATIS,Euro American Conference on Telematics and Information Systems,B2,2021-2024
EC-TEL,European Conference on Technology Enhanced Learning,A3,2021-2024
ECAI,European Conference on Artificial Intelligence,A1,2021-2024
ECC,European Control Conference,A2,2021-2024
ECCV,European Conference on Computer Vision,A1,2021-2024
ECIS,European Conference on Information Systems,A1,2021-2024
ECML,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,A1,2021-2024
ECMR,European Conference on Mobile Robots,A3,2021-2024
ECOOP,European Conference on Object-Oriented Programming,A3,2021-2024
ECSA,European Conference on Software Architecture,A3,2021-2024
ECSCW,European Conference on Computer Supported Cooperative Work,A4,2021-2024
ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,B1,2021-2024
EDBT,International Conference on Extending Database Technology,A3,2021-2024
EDCC,European Dependable Computing Conference,A4,2021-2024
EDGE,EEE International Conference on Edge Computing and Communications,A4,2021-2024
EDM,International Conference on Educational Data Mining,A2,2021-2024
EDOC,IEEE International Enterprise Distributed Object Computing Conference,A3,2021-2024
EDUCOMP,Simpósio Brasileiro de Educação em Computação,B1,2021-2024
EDUCON,IEEE Global Engineering Education Conference,A2,2021-2024
EDULEARN,International Conference on Education and New Learning Technologies,A3,2021-2024
EGOV,International Conference on Electronic Government,A3,2021-2024
EGOVIS,International Conference on Electronic Government and the Information Systems Perspective,B3,2021-2024
EMAS,International Workshop on Engineering Multiagent Systems,B4,2021-2024
EMBC,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,A1,2021-2024
EMBS,IEEE-EMBS International Conference on Biomedical and Health Informatics,A3,2021-2024
EMO,International Conference on Evolutionary Multi-Criterion Optimization,A4,2021-2024
ENANPAD,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração,B4,2021-2024
ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,A4,2021-2024
ENIAC,Encontro Nacional de Inteligencia Artificial e Computacional,A4,2021-2024
EPIA,Portuguese Conference on Artificial Intelligence,A4,2021-2024
ER,International Conference on Conceptual Modeling,A3,2021-2024
ESA,European Symposium on Algorithms,A2,2021-2024
ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",A4,2021-2024
ESCIENCE,IEEE International Conference on e-Science,A3,2021-2024
ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,A2,2021-2024
ESMARTA,International Conference on Emerging Smart Technologies and Applications,B2,2021-2024
ETC,Encontro de Teoria da Computação,B4,2021-2024
ETFA,IEEE International Conference on Emerging Technologies and Factory Automation,A2,2021-2024
ETS,IEEE European Test Symposium,A4,2021-2024
EuCNC,European Conference on Networks and Communications,A3,2021-2024
EURO,European Conference on Operational Research,B4,2021-2024
EUROCOMB,"European Conference on Combinatorics, Graph Theory and Applications",B2,2021-2024
EUROPAR,European Conference on Parallel Computing,A3,2021-2024
EuroPloP,European Conference on Pattern Languages of Programs,B1,2021-2024
EuroSPI,European Conference on Software Process Improvement,A4,2021-2024
EUROSYS,European Conference on Computer Systems,A1,2021-2024
EUSFLAT,Conference of the European Society for Fuzzy Logic and Technology,B2,2021-2024
EUSIPCO,European Signal Processing Conference,A1,2021-2024
EUVIP,European Workshop on Visual Information Processing,B1,2021-2024
EVOAPPLICATIONS,European Conference on the Applications of Evolutionary Computation,A4,2021-2024
EVOCOP,European Conference on Evolutionary Computation in Combinatorial Optimization,B3,2021-2024
FACCT,"ACM Conference on Fairness, Accountability, and Transparency",A1,2021-2024
FACS,International Conference on Formal Aspects of Component Software,B2,2021-2024
FASE,International Conference on Fundamental Approaches to Software Engineering,A3,2021-2024
FAST,USENIX Conference on File and Storage Technologies,A1,2021-2024
FC,International Conference on Financial Cryptography and Data Security,A1,2021-2024
FCT,International Symposium on Fundamentals of Computation Theory,B4,2021-2024
FDG,International Conference on Foundations of Digital Games,A2,2021-2024
FEDCSIS,Federated Conference on Computer Science and Information Systems,A3,2021-2024
FGR,IEEE International Conference on Automatic Face and Gesture Recognition,A1,2021-2024
FiCloud,International Conference on Future Internet of Things and Cloud,B1,2021-2024
FIE,IEEE Frontiers in Education Conference,A2,2021-2024
FIT,International Conference on Forntiers of Information Technology,B1,2021-2024
FLAIRS,International Florida Artificial Intelligence Conference,A4,2021-2024
FMCAD,International Conference on Formal Methods in Computer-Aided Design,A3,2021-2024
FOIS,International Conference on Formal Ontology in Information Systems,B4,2021-2024
FOSSACS,International Conference on Foundations of Software Science and Computation Structures,A4,2021-2024
FSCD,International Conference on Formal Structures for Computation and Deduction,A4,2021-2024
FSE/ESEC,Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering,A1,2021-2024
FSEN,International Conference on Fundamentals of Software Engineering,B3,2021-2024
FTC,Future Technologies Conference,A3,2021-2024
FUSION,International Conference on Information Fusion,A3,2021-2024
FUZZ,IEEE International Conference on Fuzzy Systems,A2,2021-2024
GAS,International Workshop on Games and Software Engineering,B3,2021-2024
GECCO,Genetic and Evolutionary Computation Conference,A1,2021-2024
GECON,"International Conference on Economics of Grids, Clouds, Systems and Services",B3,2021-2024
GEM,"IEEE Games, Entertainment, Media Conference",B3,2021-2024
GEOINFO,Brazilian Symposium on GeoInformatics,B2,2021-2024
GEOPROCESSING-IARIA,"IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services",B3,2021-2024
GIIS,Global Information Infrastructure and Networking Symposium,B3,2021-2024
GLOBECOM,IEEE Global Communications Conference,A1,2021-2024
GPCE,ACM International Conference on Generative Programming: Concepts and Experiences,B1,2021-2024
GRAPP,International Conference on Computer Graphics Theory and Applications,B1,2021-2024
GROUP,International Conference on Supporting Group Work,A4,2021-2024
HAIS,International Conference on Hybrid Artificial Intelligence Systems,B2,2021-2024
HCSE,International Conference on Human-Centered Software Engineering,B4,2021-2024
HEALTHCOM,"IEEE International Conference on E-health Networking, Application & Services",A3,2021-2024
HEALTHINF,International Conference on Health Informatics,A3,2021-2024
HICSS,Hawaii International Conference on System Sciences,A1,2021-2024
HIMS,International Conference on Health Informatics and Medical Systems,B4,2021-2024
HIPC,"IEEE International Conference on High Performance Computing, Data and Analytics",A4,2021-2024
HIS,International Conference on Hybrid Intelligent Systems,A4,2021-2024
HPCS,International Conference on High Performance Computing & Simulation,B1,2021-2024
HS,Haskell Symposium,B3,2021-2024
HT,ACM Conference on Hypertext and Social Media,A3,2021-2024
HUMANOIDS,IEEE RAS International Conference on Humanoid Robot,A3,2021-2024
I2MTC,IEEE International Instrumentation and Measurement Technology Conference,A3,2021-2024
I3E,"IFIP International Conference on e-Business, e-Services, and e-Society",A2,2021-2024
IAS,Industry Applications Society Annual Meeting,B1,2021-2024
IBERAMIA,Ibero-American Conference on Artificial Intelligence,B4,2021-2024
IBERCHIP,Workshop Iberchip,B4,2021-2024
IBERSPEECH,Iberspeech Conference,B4,2021-2024
IBPRIA,Iberian Conference on Pattern Recognition and Image Analysis,B1,2021-2024
IC2E,IEEE International Conference on Cloud Engineering,A4,2021-2024
IC3K,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",B2,2021-2024
ICAART,International Conference on Agents and Artificial Intelligence,A3,2021-2024
ICAI,International Conference on Applied Informatics,B1,2021-2024
ICAISC,International Conference on Artificial Intelligence and Soft Computing,A4,2021-2024
ICAIWC,International Conference on Artificial Intelligence,A4,2021-2024
ICALP,"International Colloquium on Automata, Languages, and Programming",A2,2021-2024
ICALT,IEEE International Conference on Advanced Learning Technologies,A3,2021-2024
ICANN,International Conference on Artificial Neural Networks,A2,2021-2024
ICAPS,International Conference on Automated Planning and Scheduling,A1,2021-2024
ICAR,International Conference on Advanced Robotics,A3,2021-2024
ICARCV,"International Conference on Control, Automation, Robotics and Vision",B1,2021-2024
ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing",A1,2021-2024
ICB,International Conference on Biometrics,A2,2021-2024
ICBC,IEEE International Conference on Blockchain and Cryptocurrency,A1,2021-2024
ICC,IEEE International Conference on Communications,A1,2021-2024
ICC-E,International Conference on Communications Companion,A3,2021-2024
ICCABS,International Conference on Computational Advances in Bio and Medical Sciences,B1,2021-2024
ICCAR,"International Conference on Control, Automation and Robotics",A3,2021-2024
ICCCN,International Conference on Computer Communications and Networks,A2,2021-2024
ICCD,International Conference on Computer Design,A3,2021-2024
ICCE-EDU,International Conference on Computers in Education,B1,2021-2024
ICCHP,International Conference on Computers Helping People with Special Needs,B1,2021-2024
ICCL2,International Conference on Computational Logistics,B2,2021-2024
ICCP,IEEE International Conference on Intelligent Computer Communication and Processing,B1,2021-2024
ICCS,International Conference on Computational Science,B4,2021-2024
ICCSA,International Conference on Computational Science and Its Applications,A2,2021-2024
ICCV,IEEE International Conference on Computer Vision,A1,2021-2024
ICCV-E,IEEE International Conference on Computer Vision Companion,A3,2021-2024
ICDAR,International Conference on Document Analysis and Recognition,A1,2021-2024
ICDCS,International Conference on Distributed Computing Systems,A1,2021-2024
ICDE,IEEE International Conference on Data Engineering,A1,2021-2024
ICDIP,International Conference on Digital Image Processing,B2,2021-2024
ICDM,IEEE International Conference on Data Mining,A1,2021-2024
ICEC,IFIP International Conference on Entertainment Computing,A4,2021-2024
ICECS,"IEEE International Conference on Electronics, Circuits and Systems",A3,2021-2024
ICEGOV,International Conference on Theory and Practice of Eletronic Governance,A4,2021-2024
ICEIS,International Conference on Enterprise Information Systems,A3,2021-2024
ICFCA,International Conference on Formal Concept Analysis,B4,2021-2024
ICFEM,International Conference on Formal Engineering Methods,A4,2021-2024
ICGI,International Conference on Grammatical Inference,B3,2021-2024
ICGJ,"International Conference on Game Jams, Hackathons, and Game Creation Events",B2,2021-2024
ICHI,IEEE International Conference on Healthcare Informatics,A3,2021-2024
ICIAP,International Conference on Image Analysis and Processing,A3,2021-2024
ICIAR,International Conference on Image Analysis and Recognition,A4,2021-2024
ICICS,International Conference on Information and Communications Security,A4,2021-2024
ICINCO,"International Conference on Informatics in Control, Automation and Robotics",B1,2021-2024
ICIOT,International Conference on the Internet of Things,B1,2021-2024
ICIP,IEEE International Conference on Image Processing,A1,2021-2024
ICISS,International Conference on Information Systems Security,B4,2021-2024
ICIT,IEEE International Conference on Industrial Technology,A2,2021-2024
ICIT&S,International Conference on Information Technology & Systems,A4,2021-2024
ICITE,International Conference on Information Technology and Education,A4,2021-2024
ICITS,International Conference on Information Theoretic Security,B4,2021-2024
ICIVC,"International Conference on Image, Vision and Computing",A4,2021-2024
ICKG,IEEE International Conference on Knowledge Graph,B2,2021-2024
ICL,International Conference on Interactive Collaborative Learning,A4,2021-2024
ICLR,International Conference on Learning Representations,A1,2021-2024
ICMC,International Computer Music Conference,B2,2021-2024
ICME-E,IEEE International Conference on Multimedia and Expo Companion,A3,2021-2024
ICML,International Conference on Machine Learning,A1,2021-2024
ICMLA,IEEE International Conference on Machine Learning and Applications,A1,2021-2024
ICMLC,International Conference on Machine Learning and Computing,A4,2021-2024
ICMR,ACM International Conference on Multimedia Retrieval,A2,2021-2024
ICNC,"International Conference on Computing, Networking and Communications",A2,2021-2024
ICNSC,"IEEE International Conference on Networking, Sensing and Control",A4,2021-2024
ICOIN,International Conference on Information Networking,A3,2021-2024
ICOMP,International Conference on Internet Computing and Internet of Things,B4,2021-2024
ICONIP,International Conference on Neural Information Processing,A2,2021-2024
ICPADS,International Conference on Parallel and Distributed Systems,A3,2021-2024
ICPC,International Conference on Program Comprehension,A2,2021-2024
ICPE,International Conference on Performance Engineering,A3,2021-2024
ICPP,International Conference on Parallel Processing,A3,2021-2024
ICPR,International Conference on Pattern Recognition,A1,2021-2024
ICPRAM,International Conference on Pattern Recognition Applications and Methods,B3,2021-2024
ICRA,IEEE International Conference on Robotics and Automation,A1,2021-2024
ICRAE,International Conference on Robotics and Automation Engineering,B3,2021-2024
ICS,International Conference on Supercomputing,A2,2021-2024
ICSA,International Conference on Software Architecture,A2,2021-2024
ICSC,International Conference on Semantic Computing,A3,2021-2024
ICSE,International Conference on Software Engineering,A1,2021-2024
