Sigla,Nome do evento,Estrato,quadrienio
IPAW,International Provenance and Annotation Workshop,B3,2021-2024
IPCO,Conference on Integer Programming and Combinatorial Optimization,A3,2021-2024
IPDPS,IEEE International Parallel & Distributed Processing Symposium,A1,2021-2024
IPDPS-E,IEEE International Parallel & Distributed Processing Symposium Companion,A3,2021-2024
IPEC,International Symposium on Parameterized and Exact Computation,A3,2021-2024
IPMU,International Conference on Information Processing and Management of Uncertainty,B1,2021-2024
IPTA,International Conference on Image Processing Theory Tools and Applications,A4,2021-2024
IRC,IEEE International Conference on Robotic Computing,A3,2021-2024
IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,A1,2021-2024
ISAAC,International Symposium on Algorithms and Computation,A3,2021-2024
ISADS,International Symposium on Autonomous Decentralized Systems,A4,2021-2024
ISBI,IEEE International Symposium on Biomedical Imaging,A1,2021-2024
ISBRA,International Symposium on Bioinformatics Research and Applications,B2,2021-2024
ISC,International Conference on Information Security,B1,2021-2024
ISC2,IEEE International Smart Cities Conference,A3,2021-2024
ISCAS,IEEE International Symposium on Circuits and Systems,A1,2021-2024
ISCC,International Symposium on Computers and Communications,A2,2021-2024
ISCO,International Symposium on Combinatorial Optimization,B3,2021-2024
ISCRAM,International Conference on Information Systems for Crisis Response and Management,A4,2021-2024
ISE,Workshop Brasileiro de Engenharia de Software Inteligente,B4,2021-2024
ISGT,IEEE PES Innovative Smart Grid Technologies,A2,2021-2024
ISGT-Europe,IEEE PES Innovative Smart Grid Technologies Conference Europe,A3,2021-2024
ISGT-LA,IEEE PES Innovative Smart Grid Technologies Latin America,A4,2021-2024
ISIE,IEEE International Symposium on Industrial Electronics,A3,2021-2024
ISIPTA,International Symposium on Imprecise Probabilities: Theories and Applications,B4,2021-2024
ISLA,Information Systems in Latin America,B4,2021-2024
ISM,IEEE International Symposium on Multimedia,A3,2021-2024
ISMAR,IEEE International Symposium on Mixed and Augmented Reality,A1,2021-2024
ISMIR,International Society for Music Information Retrieval Conference,A1,2021-2024
ISMSI,"International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence",B2,2021-2024
ISMVL,IEEE International Symposium on Multiple-Valued Logic,B1,2021-2024
ISNN,International Symposium on Neural Networks,B1,2021-2024
ISORC,IEEE International Symposium on RealTime Distributed Computing,A4,2021-2024
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,A3,2021-2024
ISPDC,International Symposium on Parallel and Distributed Computing,B1,2021-2024
ISPRS,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",A2,2021-2024
ISQED,International Symposium on Quality Electronic Design,A3,2021-2024
ISSI,International Society of Scientometrics and Informetrics Conference,A4,2021-2024
ISSRE,IEEE International Symposium on Software Reliability Engineering,A2,2021-2024
ISSRE-E,IEEE International Symposium on Software Reliability Engineering Companion,B1,2021-2024
ISSTA,International Symposium on Software Testing and Analysis,A1,2021-2024
ISTAR,International i*Workshop,B4,2021-2024
ISVC,International Symposium on Visual Computing,A4,2021-2024
ISVLSI,IEEE Computer Society Annual Symposium on VLSI,A3,2021-2024
ISWCS,International Symposium on Wireless Communication Systems,A3,2021-2024
ITC,International Test Conference,A4,2021-2024
ITHET,International Conference on Information Technology Based Higher Education and Training,B2,2021-2024
ITICSE,Joint Conference on Innovation and Technology in Computer Science Education,A1,2021-2024
ITNG,International Conference on Information Technology : New Generations,A4,2021-2024
ITP,International Conference on Interactive Theorem Proving,A3,2021-2024
ITS,International Conference on Augmented Intelligence and Intelligent Tutoring Systems,A3,2021-2024
ITSC,IEEE International Conference on Intelligent Transportation Systems,A1,2021-2024
IUI,International Conference on Intelligent User Interfaces,A1,2021-2024
IV,International Conference on Information Visualization,A4,2021-2024
IVAPP,International Conference on Information Visualization Theory and Applications,A4,2021-2024
IVS,IEEE Intelligent Vehicles Symposium,A1,2021-2024
IWANN,International Work-Conference on Artificial Neural Networks,A4,2021-2024
IWBBIO,International Work-Conference on Bioinformatics and Biomedical Engineering,A4,2021-2024
IWCMC,International Wireless Communications and Mobile Computing Conference,A1,2021-2024
IWOCA,International Workshop on Combinatorial Algorithms,B2,2021-2024
IWSECO,International Workshop on Software Ecosystems,B3,2021-2024
IWSSIP,"International Conference on Systems, Signals and Image Processing",A3,2021-2024
jAUTI,Iberoamerican Conference on Applications and Usability of Interactive TV,B4,2021-2024
JCDL,ACM/IEEE Joint Conference on Digital Libraries,A3,2021-2024
JSSPP,Workshop on Job Scheduling Strategies for Parallel Processing,B2,2021-2024
JURIX,International Conference on Legal Knowledge and Information Systems,A4,2021-2024
KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,A1,2021-2024
KDMILE,"Symposium on Knowledge Discovery, Mining and Learning",B2,2021-2024
KEPS,Workshop on Knowledge Engineering for Planning and Scheduling,B4,2021-2024
KR,International Conference on Principles of Knowledge Representation and Reasoning,A3,2021-2024
L@S,ACM Conference on Learning @ Scale,A3,2021-2024
LA-CCI,Latin American Conference on Computational Intelligence,B2,2021-2024
LACLO,Latin American Conference on Learning Technologies,B1,2021-2024
LADC,Latin-American Symposium on Dependable and Secure Computing,A4,2021-2024
LAGOS,"Latin-American Algorithms, Graphs and Optimization Symposium",B4,2021-2024
LAK,International Learning Analytics and Knowledge Conference,A1,2021-2024
LANC,Latin American Networking Conference,A3,2021-2024
LARS,IEEE Latin American Robotics Symposium,A4,2021-2024
LASCAS,IEEE Latin American Symposium on Circuits and Systems,A3,2021-2024
LATIN,Latin American Theoretical Informatics Symposium,A3,2021-2024
LATINCOM,IEEE Latin-American Conference on Communications,B1,2021-2024
LATINCRYPT,International Conference on Cryptology and Information Security in Latin America,A4,2021-2024
LATINOWARE,Congresso Latino-americano de Software Livre e Tecnologias Abertas,B4,2021-2024
LATS,IEEE Latin American Test Symposium,B1,2021-2024
LAW,Linguistic Annotation Workshop,B2,2021-2024
LCN,IEEE Conference on Local Computer Networks,A3,2021-2024
LIDTA,Workshop on Learning with Imbalanced Domains: Theory and Applications,B3,2021-2024
LREC,International Conference on Language Resources and Evaluation,A1,2021-2024
MABS,International Workshop on Multi-Agent Based Simulation,B3,2021-2024
MASCOTS,"International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",A4,2021-2024
MEDINFO,World Congress on Medical and Health Informatics,A1,2021-2024
MEMEA,IEEE International Symposium on Medical Measurements and Applications,A3,2021-2024
MEMSYS,International Symposium on Memory Systems,A4,2021-2024
MFCS,International Symposium on Mathematical Foundations of Computer Science,A3,2021-2024
MFI,IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems,A4,2021-2024
MIC,Metaheuristics International Conference,B3,2021-2024
MICAI,Mexican International Conference on Artificial Intelligence,B1,2021-2024
MICCAI,International Conference on Medical Image Computing and Computer Assisted Intervention,A1,2021-2024
MIDDLEWARE,International Middleware Conference,A3,2021-2024
MILCOM,Military Communications Conference,A3,2021-2024
MLDM,International Conference on Machine Learning and Data Mining in Pattern Recognition,B4,2021-2024
MLS,Conference on Machine Learning and Systems,A1,2021-2024
MLSP,IEEE International Workshop on Machine Learning for Signal Processing,A3,2021-2024
MMAR,International Conference on Methods and Models in Automation and Robotics,B2,2021-2024
MMM,International Conference on Multimedia Modelling,A2,2021-2024
MMSP,International Workshop on Multimedia and Signal Processing,A3,2021-2024
MMSYS,ACM Multimedia Systems Conference,A2,2021-2024
MOBICOM,ACM/IEEE International Conference on Mobile Computing and Networking,A1,2021-2024
MOBIHEALTH,EAI International Conference on Wireless Mobile Communication and Healthcare,B3,2021-2024
MOBILESOFT,International Conference on Mobile Software Engineering and Systems,B2,2021-2024
MOBIQUITOUS,"EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",A4,2021-2024
MobiSys,"Annual International Conference on Mobile Systems, Applications, and Services",A1,2021-2024
MOBIWAC,ACM International Symposium on Mobility Management and Wireless Access,B3,2021-2024
MODELS,International Conference on Model Driven Engineering Languages and Systems,A2,2021-2024
MODELSWARD,International Conference on Model-Driven Engineering and Software Development,B1,2021-2024
MSR,Working Conference on Mining Software Repositories,A1,2021-2024
MSSIS,Workshop deModelagem e Simulação de Sistemas Intensivos em Software,B4,2021-2024
MSWIM,"ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",A4,2021-2024
MTSR,International Conference on Metadata and Semantics Research,B2,2021-2024
MWSCAS,International Midwest Symposium on Circuits and Systems,A3,2021-2024
NAACL,North American Chapter of the Association for Computational Linguistics Annual Meeting,A1,2021-2024
NCA,IEEE International Symposium on Network Computing and Applications,A4,2021-2024
NETSOFT,IEEE Conference on Network Softwarization,A2,2021-2024
NetSys,International Conference on Networked Systems,B1,2021-2024
NETWORKING,IFIP Networking Conference,A3,2021-2024
NEURIPS,Neural Information Processing Systems,A1,2021-2024
NEWCAS,IEEE International New Circuits and Systems Conference,B1,2021-2024
NFV-SDN,IEEE Conference on Network Function Virtualization and Software Defined Networks,A4,2021-2024
NIME,International Conference on New Interfaces for Musical Expression,A3,2021-2024
NLDB,International Conference on Application of Natural Language to Information Systems,A4,2021-2024
NOF,International Conference on Network of the Future,B2,2021-2024
NOMS,IEEE/IFIP Network Operations and Management Symposium,A2,2021-2024
NORDICHI,Nordic Conference on Human-Computer Interaction,A3,2021-2024
NTMS,"IFIP International Conference on New Technologies, Mobility and Security",A4,2021-2024
OCEAN,IEEE Oceans Conference,B3,2021-2024
OM,International Workshop on Ontology Matching,A4,2021-2024
ONDM,Conference on Optical Network Design and Modeling,A4,2021-2024
ONTOBRAS,Seminar on Ontology Research in Brazil,B2,2021-2024
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",B3,2021-2024
OPENSCIENSE,Workshop de Práticas de Ciência Aberta Para Engenharia de Software,B4,2021-2024
OPENSYM,International Symposium on Open Collaboration,B1,2021-2024
OSS,International Conference on Open Source Systems,B1,2021-2024
OZCHI,Australian Conference on Human-Computer Interaction,A3,2021-2024
PAAMS,"International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability",B1,2021-2024
PACBB,International Conference on Practical Applications of Computational Biology & Bioinformatics,A4,2021-2024
PACIS,Pacific Asia Conference on Information Systems,A3,2021-2024
PACTT,International Conference on Parallel Architectures and Compilation Techniques,A3,2021-2024
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,A2,2021-2024
PAM,Passive and Active Network Measurement Conference,A3,2021-2024
PCS,Picture Coding Symposium,A4,2021-2024
PDP,"Euromicro International Conference on Parallel, Distributed and Network-Based Processing",A3,2021-2024
PE-WASUN,"ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks",B4,2021-2024
PERCOM-E,International Conference on Pervasive Computing and Communications Companion,A3,2021-2024
PERVASIVEHEALTH,International Conference on Pervasive Computing Technologies for Healthcare,A3,2021-2024
PETRA,ACM International Conference on PErvasive Technologies Related to Assistive Environments,A3,2021-2024
PIMRC,"International Symposium on Personal, Indoor and Mobile Radio Communications",A2,2021-2024
PKC,International Conference on Practice and Theory in Public Key Cryptography,A1,2021-2024
PLOP,Conference on Pattern Languages of Programs,B1,2021-2024
PODC,ACM Symposium on Principles of Distributed Computing,A2,2021-2024
PoEM,IFIP WG 8.1 Working Conference on the Practice of Enterprise Modelling,B2,2021-2024
PPAM,International Conference on Parallel Processing and Applied Mathematics,B2,2021-2024
PPSN,International Conference on Parallel Problem Solving from Nature,A4,2021-2024
PRDC,Pacific Rim International Symposium on Dependable Computing,A4,2021-2024
PRIMA,nternational Conference on Principles and Practice of Multi-Agent Systems,B2,2021-2024
PROFES,International Conference on Product-Focused Software Process Improvement,A3,2021-2024
PROMISE,International Conference on Predictive Models and Data Analytics in Software Engineering,B1,2021-2024
PROPOR,International Conference on Computational Processing of the Portuguese Language,A4,2021-2024
PST,"International Conference on Privacy, Security and Trust",A4,2021-2024
QoMEX,International Workshop on Quality of Multimedia Experience,A3,2021-2024
QRS,"IEEE International Conference on Software Quality, Reliability, and Security",A3,2021-2024
QUATIC,International Conference on Quality of Information and Communications Technology,B1,2021-2024
RANLP,International Conference on Recent Advances in Natural Language Processing,A2,2021-2024
RCIS,International Conference on Research Challenges in Information Science,A4,2021-2024
RE,IEEE International Requirements Engineering Conference,A2,2021-2024
RECSYS,ACM Conference on Recommender Systems,A1,2021-2024
REFSQ,International Working Conference on Requirements Engineering: Foundations for Software Quality,A3,2021-2024
RO-MAN,IEEE International Symposium on Robot and Human Interactive Communication,A2,2021-2024
ROBOCUP,Robocup International Symposium,A4,2021-2024
ROBOT,Iberian Robotics Conference,B1,2021-2024
RTAS,IEEE REAL-TIME AND EMBEDDED TECHNOLOGY AND APPLICATIONS SYMPOSIUM,A2,2021-2024
RTSS,Real-Time Systems Symposium,A3,2021-2024
RuleML+RR,International Joint Conference on Rules and Reasoning,B1,2021-2024
SAC,ACM Symposium on Applied Computing,A1,2021-2024
SACI,IEEE International Symposium on Applied Computational Intelligence and Informatics,B1,2021-2024
SAMOS,"International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation",B2,2021-2024
SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering",A1,2021-2024
SAS,IEEE Sensors Applications Symposium,A3,2021-2024
SAST,Brazilian Symposium on Systematic and Automated Software Testing,B1,2021-2024
SBAC-PAD,International Symposium on Computer Architecture and High Performance Computing,A3,2021-2024
SBAI,Simpósio Brasileiro de Automação Inteligente,B4,2021-2024
SBBD,Simpósio Brasileiro de Banco de Dados,A4,2021-2024
SBCARS,"Brazilian Symposium on Components, Architectures and Reuse Software",B1,2021-2024
SBCAS,Simpósio Brasileiro de Computação Aplicada à Saúde,A4,2021-2024
SBCCI,Symposium on Integrated Circuits and Systems Design,A4,2021-2024
SBCM,Simpósio Brasileiro de Computação Musical,A4,2021-2024
SBCUP,Simpósio Brasileiro de Computação Ubíqua e Pervasiva,B4,2021-2024
SBES,Brazilian Symposium on Software Engineering,A3,2021-2024
SBESC,Symposium on Computing Systems Engineering,A4,2021-2024
SBGAMES,Simpósio Brasileiro de Jogos e Entretenimento Digital,A4,2021-2024
SBGAMES-E,Simpósio Brasileiro de Jogos e Entretenimento Digital Companion,B2,2021-2024
SBIAGRO,Congresso Brasileiro de Agroinformática,B4,2021-2024
SBIE,Simpósio Brasileiro de Informática na Educação,A3,2021-2024
SBLP,Brazilian Symposium on Programming Languages,A4,2021-2024
SBMF,Brazilian Symposium on Formal Methods,A4,2021-2024
SBMICRO,Symposium on Microelectronics Technology and Devices,B3,2021-2024
SBPO,Simpósio Brasileiro de Pesquisa Operacional,A4,2021-2024
SBQS,Simpósio Brasileiro de Qualidade de Software,A3,2021-2024
SBRC,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,A4,2021-2024
SBrT,Simpósio Brasileiro de Telecomunicações e Processamento de Sinais,B4,2021-2024
SBSC,Simpósio Brasileiro de Sistemas Colaborativos,A4,2021-2024
SBSE,Simpósio Brasileiro de Sistemas Elétricos,B4,2021-2024
SBSeg,Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,A4,2021-2024
SBSI,Simpósio Brasileiro de Sistemas de Informação,A4,2021-2024
SBSI-E,Simpósio Brasileiro de Sistemas de Informação Companion,B3,2021-2024
SBSR,Simpósio Brasileiro de Sensoriamento Remoto,B2,2021-2024
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis",A1,2021-2024
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,A3,2021-2024
SCCC,International Conference of the Chilean Computer Science Society,B1,2021-2024
SCS,Symposium on Combinatorial Search,A3,2021-2024
SDM,SIAM International Conference on Data Mining,A1,2021-2024
SDS,International Conference on Software Defined Systems,A4,2021-2024
SDSS,Spatial Data Science Symposium,B2,2021-2024
SEA,International Symposium on Experimental Algorithms,B1,2021-2024
SEAA,Euromicro Conference on Software Engineering and Advanced Applications,A3,2021-2024
SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,A3,2021-2024
SECRYPT,International Conference on Security and Cryptography,B2,2021-2024
SEFM,International Conference on Software Engineering and Formal Methods,A3,2021-2024
SEGAH,International Conference on Serious Games and Applications for Health,A3,2021-2024
SEH,International Workshop on Software Engineering in Healthcare,B4,2021-2024
SEKE,International Conference on Software Engineering and Knowledge Engineering,B1,2021-2024
SEMEVAL,International Workshop on Semantic Evaluation,A1,2021-2024
SEMISH,Seminário Integrado de Software e Hardware,A4,2021-2024
SEPLN,CONFERENCE OF THE SPANISH SOCIETY FOR NATURAL LANGUAGE PROCESSING,B3,2021-2024
SER&IP,IEEE/ACM International Workshop on Software Engineering Research and Industrial Practice,B3,2021-2024
SERP4IOT,International Workshop on Software Engineering Research & Practices for the Internet of Things,B4,2021-2024
SESoS,International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems,B2,2021-2024
SIBGRAPI,"Conference on Graphics, Patterns and Images",A3,2021-2024
SIGCSE,ACM Technical Symposium on Computer Science Education,A1,2021-2024
SIGDOC,ACM International Conference on Design of Communication,B2,2021-2024
SIGGRAPH,International Conference and Exibition on Computer Graphics and Interactive Techniques,A3,2021-2024
SIGGRAPH Asia,ACM International Conference on Computer Graphics & Interactive Techniques / Asia,A2,2021-2024
SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,A1,2021-2024
SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,A1,2021-2024
SIGSPATIAL,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,A3,2021-2024
SIIE,Simpósio Internacional de Informática Educatica,B2,2021-2024
SIMBIG,Annual International Symposium on Information Management and Big Data,B3,2021-2024
SIMULTECH,"International Conference on Simulation and Modeling Methodologies, Technologies and Applications",B2,2021-2024
SIMUTOOLS,EAI International Conference on Simulation Tools and Techniques,B2,2021-2024
SIPAIM,International Symposium on Medical Information Processing and Analysis,B2,2021-2024
SISAP,International Conference on Similarity Search and Applications,B2,2021-2024
SLATE,"Symposium on Languages, Applications and Technologies",B3,2021-2024
SMARTCOMP,International Conference on Smart Computing,A3,2021-2024
SMARTGRIDCOMM,IEEE International Conference on Smart Grid Communications,A2,2021-2024
SMC,"IEEE International Conference on Systems, Man and Cybernetics",A1,2021-2024
SOCINFO,International Conference on Social Informatics,B3,2021-2024
SODA,ACM-SIAM Symposium on Discrete Algorithms,A1,2021-2024
SOFSEM,International Conference on Current Trends in Theory and Practice of Computer Science,B4,2021-2024
SOFTCOM,"International Conference on Software, Telecommunications and Computer Networks",A4,2021-2024
SOSA,Siam Symposium on Simplicity in Algorithms,A4,2021-2024
SOSEC,IEEE Annual System of Systems Engineering Conference,A4,2021-2024
SOSR,Symposium on Software Defined Networking Research,B4,2021-2024
SPATIALGEMS,ACM SIGSPATIAL International Workshop on Spatial Gems,B4,2021-2024
SPIE,Proceedings of SPIE--The International Society for Optical Engineering,A3,2021-2024
SPIEMI,Medical Imaging: Image Processing,A3,2021-2024
SPIRE,International Symposium on String Processing and Information Retrieval,B1,2021-2024
SPLC,International Software Product Line Conference,A2,2021-2024
SPLITECH,International Conference on Smart and Sustainable Technologies,A4,2021-2024
SRDS,IEEE Symposium on Reliable Distributed Systems,A3,2021-2024
SSCAD,Simpósio em Sistemas Computacionais de Alto Desempenho,A4,2021-2024
SSCI,IEEE Symposium Series on Computational Intelligence,A2,2021-2024
SSDBM,International Conference on Scientific and Statistical Database Management,A3,2021-2024
SSE,IEEE International Conference on Software Services Engineering,A4,2021-2024
SSIAI,Southwest Symposium on Image Analysis and Interpretation,B2,2021-2024
STIL,Brazilian Symposium in Information and Human Language Technology,B1,2021-2024
STOC,ACM Symposium on Theory of Computing,A1,2021-2024
SVR,Symposium on Virtual and Augmented Reality,A3,2021-2024
SWQD,Conference Software Quality Days,A4,2021-2024
SYSCON,IEEE International Systems Conference,A4,2021-2024
TABLEAUX,International Conference on Automated Reasoning with Analytic Tableaux and Related Methods,B2,2021-2024
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,A1,2021-2024
TASE,Theoretical Aspects of Software Engineering,B1,2021-2024
TECHDEBT,International Conference on Technical Debt,A3,2021-2024
TEEM,Technological Ecosystems for Enhancing Multiculturality,A3,2021-2024
TISE,Congreso Internacional de Informática Educativa,B4,2021-2024
TMA,The Network Traffic Measurement and Analysis Conference,A4,2021-2024
TRUST,International Workshop on Trust in Agent societies,B4,2021-2024
TRUSTCOM,"International Conference on Trust, Security and Privacy in Computing and Communications",A2,2021-2024
TSD,"International Conference on Text, Speech and Dialogue",A3,2021-2024
UBIMUS,Workshop de Música Ubíqua,B4,2021-2024
UCC,IEEE/ACM International Conference on Utility and Cloud Computing,A3,2021-2024
UMAP,"ACM Conference on User Modeling, Adaptation and Personalization",A2,2021-2024
UNIF,International Workshop on Unification,B4,2021-2024
USIHC,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Computador,B4,2021-2024
VAMOS,International Workshop on Variability Modelling of Software-intensive Systems,A3,2021-2024
VCIP,IEEE International Conference on Visual Communications and Image Processing,A4,2021-2024
VEM,"Workshop on Software Visualization, Evolution and Maintenance",B3,2021-2024
VIDEOJOGOS,Conference on Videogame Sciences and Arts,B4,2021-2024
VISAPP,International Conference on Computer Vision Theory and Applications,A2,2021-2024
VISIGRAPP,"Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",B2,2021-2024
VISSOFT,IEEE Working Conference on Software Visualization,B2,2021-2024
VLHCC,IEEE Symposium on Visual Languages and Human-Centric Computing,A4,2021-2024
VLSI-SOC,IEEE/IFIP International Conference on VLSI and System-on-Chip,A3,2021-2024
VNC,IEEE Vehicular Networking Conference,A4,2021-2024
VR,IEEE Conference Virtual Reality and 3D User Interfaces,A1,2021-2024
VRST,ACM Symposium on Virtual Reality Software and Technology,A2,2021-2024
VTC,Vehicular Technology Conference,A1,2021-2024
VTS,IEEE VLSI Test Symposium,A4,2021-2024
W4A,Conference on Web Accessibility,A4,2021-2024
WABI,Workshop on Algorithms in Bioinformatics,A3,2021-2024
WAC,Web Audio Conference,B3,2021-2024
WACV,Workshop on Applications of Computer Vision,A1,2021-2024
WAIHCWS,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social,B3,2021-2024
WALCOM,International Workshop on Algorithms and Computation,B2,2021-2024
WAOA,Workshop on Approximation and Online Algorithms,B3,2021-2024
WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",B2,2021-2024
WASSA,"Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis",A4,2021-2024
WAVE,Workshop on Advanced Virtual Environments and Education,B4,2021-2024
WBCI,Workshop Brasileiro de Cidades Inteligentes,B4,2021-2024
WBL,Workshop Brasileiro de Lógica,B4,2021-2024
WBLOCKCHAIN,"Workshop em Blockchain: Teoria, Tecnologias e Aplicações",B4,2021-2024
WBMA,Workshop Brasileiro de Métodos Ágeis,B4,2021-2024
WCAMA,Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,B4,2021-2024
WCAS,Workshop on Circuits and Systems Design,B4,2021-2024
WCGE,Workshop de Computação Aplicada ao Governo Eletrônico,B4,2021-2024
WCNC,IEEE Wireless Communications and Networking Conference,A2,2021-2024
WCNPS,Workshop on Communication Networks and Power Systems,B2,2021-2024
WD,Wireless Days Conference,A4,2021-2024
WEB3D,International Conference on 3D Web Technology,A4,2021-2024
WEB4ALL,International Web for All Conference,A3,2021-2024
WEBIST,International Conference on Web Information Systems and Technologies,A4,2021-2024
WEBMEDIA,Brazilian Symposium on Multimedia and the Web,A3,2021-2024
WEBSCI,ACM Web Science Conference,A2,2021-2024
WEI,Workshop sobre Educação em Computação,A4,2021-2024
WEIHC,Workshop sobre Educação em IHC,B4,2021-2024
WER,Workshop on Requirements Engineering,B2,2021-2024
WETICE,IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises,A4,2021-2024
WF-IoT,IEEE World Forum on Internet of Things,A2,2021-2024
WFCS,IEEE World Conference on Factory Communication Systems,A4,2021-2024
WFIBRE,Workshop do testbed FIBRE,B4,2021-2024
WG,International Workshop on Graph-Theoretic Concepts in Computer Science,A3,2021-2024
WGRS,Workshop de Gerência e Operação de Redes e Serviços,B4,2021-2024
WI-IAT,IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,A2,2021-2024
WICS,Workshop sobre as Implicações da Computação na Sociedade,B3,2021-2024
WIDAT,"Workshop de informação, dados e tecnologia",B4,2021-2024
WIDE,Workshop on Interactions with Human Experiences,B4,2021-2024
WIE,Workshop de Informática na Escola,A4,2021-2024
WIFS,IEEE Workshop on Information Forensics and Security,A3,2021-2024
WIMOB,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",A3,2021-2024
WIPLAY,Workshop sobre Interação e Pesquisa de Usuários no Desenvolvimento de Jogos,B4,2021-2024
WISE,International Conference on Web Information Systems Engineering,A3,2021-2024
WIT,Women in Information Technology,B1,2021-2024
WMNC,Joint IFIP Wireless and Mobile Networking Conference,B4,2021-2024
WOCC,Wireless and Optical Communications Conference,A4,2021-2024
WOLLIC,"International Workshop on Logic, Language, Information and Computation",B1,2021-2024
WONS,Wireless On-demand Network systems and Services Conference,B3,2021-2024
WORKS,Workshop on Workflows in Support of Large-Scale Science,B3,2021-2024
WorldCIST,World Conference on Information Systems and Technologies,A2,2021-2024
WORLDS4,"World Conference on Smart Trends in Systems, Security and Sustainability",A3,2021-2024
WOSP,International Workshop on Mining Scientific Publications,B3,2021-2024
WPEIF,Workshop de Pesquisa Experimental da Internet do Futuro,B4,2021-2024
WPERFORMANCE,Workshop em Desempenho de Sistemas Computacionais e de Comunicação,B4,2021-2024
WPES,Annual ACM workshop on Privacy in the electronic society,A4,2021-2024
WSC,Winter Simulation Conference,A3,2021-2024
WTF,Workshop de Testes e Tolerância a Falhas,B4,2021-2024
WVC,Workshop de Visão Computacional,B3,2021-2024
WWW,The ACM Web Conference,A1,2021-2024
XP,International Conference on Agile Software Development,A3,2021-2024
